city,period,month,tas_C,std_C
Dubai,y2080_ssp585,8,41.003,4.861
Dubai,y2080_ssp585,9,39.167,4.385
Dubai,y2080_ssp585,10,35.288,3.098
Dubai,y2080_ssp585,11,30.146,2.503
Dubai,y2080_ssp585,12,25.289,2.643
Helsinki,y2080_ssp585,1,-0.113,3.242
Helsinki,y2080_ssp585,2,-0.164,3.321
Helsinki,y2080_ssp585,3,2.452,2.827
Helsinki,y2080_ssp585,4,7.996,2.726
Helsinki,y2080_ssp585,5,14.446,2.633
Helsinki,y2080_ssp585,6,20.278,2.648
Helsinki,y2080_ssp585,7,23.045,3.08
Helsinki,y2080_ssp585,8,21.545,3.004
Helsinki,y2080_ssp585,9,16.892,2.632
Helsinki,y2080_ssp585,10,11.268,2.642
Helsinki,y2080_ssp585,11,6.039,2.957
Helsinki,y2080_ssp585,12,1.853,3.416
Honolulu,y2080_ssp585,1,25.823,1.379
Honolulu,y2080_ssp585,2,25.389,1.438
Honolulu,y2080_ssp585,3,25.294,1.407
Honolulu,y2080_ssp585,4,25.593,1.338
Honolulu,y2080_ssp585,5,26.484,1.224
Honolulu,y2080_ssp585,6,27.733,1.149
Honolulu,y2080_ssp585,7,28.682,1.144
Honolulu,y2080_ssp585,8,29.501,1.227
Honolulu,y2080_ssp585,9,29.974,1.378
Honolulu,y2080_ssp585,10,29.478,1.358
Honolulu,y2080_ssp585,11,28.084,1.267
Honolulu,y2080_ssp585,12,26.731,1.293
Lagos,y2080_ssp585,1,30.958,2.172
Lagos,y2080_ssp585,2,32.217,1.865
Lagos,y2080_ssp585,3,33.202,1.744
Lagos,y2080_ssp585,4,32.896,1.802
Lagos,y2080_ssp585,5,32.15,1.77
Lagos,y2080_ssp585,6,31.34,1.576
Lagos,y2080_ssp585,7,30.321,1.717
Lagos,y2080_ssp585,8,29.559,1.814
Lagos,y2080_ssp585,9,29.728,1.973
Lagos,y2080_ssp585,10,30.371,2.057
Lagos,y2080_ssp585,11,30.941,1.857
Lagos,y2080_ssp585,12,30.828,2.06
London,y2080_ssp585,1,9.026,1.709
London,y2080_ssp585,2,8.811,1.784
London,y2080_ssp585,3,9.494,1.483
London,y2080_ssp585,4,11.394,1.611
London,y2080_ssp585,5,14.779,1.685
London,y2080_ssp585,6,18.957,1.882
London,y2080_ssp585,7,22.228,2.317
London,y2080_ssp585,8,22.46,2.407
London,y2080_ssp585,9,20.225,2.154
London,y2080_ssp585,10,16.445,1.935
London,y2080_ssp585,11,12.594,1.789
London,y2080_ssp585,12,10.181,1.876
Los Angeles,y2080_ssp585,1,13.107,2.276
Los Angeles,y2080_ssp585,2,14.027,2.158
Los Angeles,y2080_ssp585,3,15.666,2.3
Los Angeles,y2080_ssp585,4,18.657,2.488
Los Angeles,y2080_ssp585,5,22.429,2.887
Los Angeles,y2080_ssp585,6,26.502,3.276
Los Angeles,y2080_ssp585,7,30.171,3.023
Los Angeles,y2080_ssp585,8,31.311,2.527
Los Angeles,y2080_ssp585,9,29.211,2.159
Los Angeles,y2080_ssp585,10,25.382,2.203
Los Angeles,y2080_ssp585,11,18.535,2.471
Los Angeles,y2080_ssp585,12,14.08,2.559
Madrid,y2080_ssp585,1,8.68,2.686
Madrid,y2080_ssp585,2,9.798,2.567
Madrid,y2080_ssp585,3,12.089,2.634
Madrid,y2080_ssp585,4,15.07,3.016
Madrid,y2080_ssp585,5,20.18,3.278
Madrid,y2080_ssp585,6,26.292,3.94
Madrid,y2080_ssp585,7,31.225,3.942
Madrid,y2080_ssp585,8,31.32,3.343
Madrid,y2080_ssp585,9,26.599,3.094
Madrid,y2080_ssp585,10,19.358,2.895
Madrid,y2080_ssp585,11,13.207,2.641
Madrid,y2080_ssp585,12,9.798,2.454
Mexico City,y2080_ssp585,1,19.679,3.217
Mexico City,y2080_ssp585,2,21.075,3.126
Mexico City,y2080_ssp585,3,23.521,3.09
Mexico City,y2080_ssp585,4,25.89,2.927
Mexico City,y2080_ssp585,5,26.367,2.997
Mexico City,y2080_ssp585,6,25.92,2.819
Mexico City,y2080_ssp585,7,25.657,2.578
Mexico City,y2080_ssp585,8,25.532,2.501
Mexico City,y2080_ssp585,9,24.85,2.673
Mexico City,y2080_ssp585,10,23.333,2.963
Mexico City,y2080_ssp585,11,21.663,3.154
Mexico City,y2080_ssp585,12,20.15,3.254
Montreal,y2080_ssp585,1,-3.059,2.783
Montreal,y2080_ssp585,2,-1.842,2.885
Montreal,y2080_ssp585,3,2.621,2.726
Montreal,y2080_ssp585,4,9.978,2.951
Montreal,y2080_ssp585,5,16.835,2.825
Montreal,y2080_ssp585,6,22.725,2.492
Montreal,y2080_ssp585,7,26.485,2.85
Montreal,y2080_ssp585,8,26.165,3.294
Montreal,y2080_ssp585,9,21.518,3.32
Montreal,y2080_ssp585,10,14.236,3.288
Montreal,y2080_ssp585,11,6.666,2.959
Montreal,y2080_ssp585,12,0.501,2.641
Moscow,y2080_ssp585,1,-2.593,3.936
Moscow,y2080_ssp585,2,-1.572,3.836
Moscow,y2080_ssp585,3,2.91,3.221
Moscow,y2080_ssp585,4,10.111,3.128
Moscow,y2080_ssp585,5,17.157,3.046
Moscow,y2080_ssp585,6,23.141,3.274
Moscow,y2080_ssp585,7,25.732,3.444
Moscow,y2080_ssp585,8,24.169,3.202
Moscow,y2080_ssp585,9,18.012,2.804
Moscow,y2080_ssp585,10,10.797,2.713
Moscow,y2080_ssp585,11,4.546,3.033
Moscow,y2080_ssp585,12,-0.271,3.435
Mumbai,y2080_ssp585,1,27.587,2.752
Mumbai,y2080_ssp585,2,28.644,2.137
Mumbai,y2080_ssp585,3,30.81,1.73
Mumbai,y2080_ssp585,4,32.85,1.71
Mumbai,y2080_ssp585,5,33.548,1.679
Mumbai,y2080_ssp585,6,32.572,1.888
Mumbai,y2080_ssp585,7,30.742,2.331
Mumbai,y2080_ssp585,8,29.701,2.096
Mumbai,y2080_ssp585,9,30.054,2.013
Mumbai,y2080_ssp585,10,31.108,2.041
Mumbai,y2080_ssp585,11,30.386,2.559
Mumbai,y2080_ssp585,12,28.274,3.082
Nairobi,y2080_ssp585,1,26.308,2.03
Nairobi,y2080_ssp585,2,27.493,2.044
Nairobi,y2080_ssp585,3,28.143,2.061
Nairobi,y2080_ssp585,4,27.45,2.034
Nairobi,y2080_ssp585,5,26.525,2.011
Nairobi,y2080_ssp585,6,25.863,2.023
Nairobi,y2080_ssp585,7,25.33,2.14
Nairobi,y2080_ssp585,8,25.773,2.185
Nairobi,y2080_ssp585,9,26.756,2.308
Nairobi,y2080_ssp585,10,27.043,2.075
Nairobi,y2080_ssp585,11,25.618,1.841
Nairobi,y2080_ssp585,12,25.468,1.92
New York,y2080_ssp585,1,5.283,3.136
New York,y2080_ssp585,2,6.281,3.09
New York,y2080_ssp585,3,9.322,2.939
New York,y2080_ssp585,4,14.568,2.744
New York,y2080_ssp585,5,20.052,2.488
New York,y2080_ssp585,6,25.36,2.135
New York,y2080_ssp585,7,28.897,2.384
New York,y2080_ssp585,8,29.103,2.695
New York,y2080_ssp585,9,26.048,2.915
New York,y2080_ssp585,10,20.261,3.14
New York,y2080_ssp585,11,13.64,3.179
New York,y2080_ssp585,12,8.145,3.082
Oslo,y2080_ssp585,1,-0.206,2.704
Oslo,y2080_ssp585,2,-0.063,2.801
Oslo,y2080_ssp585,3,1.977,2.204
Oslo,y2080_ssp585,4,6.545,2.173
Oslo,y2080_ssp585,5,12.49,2.244
Oslo,y2080_ssp585,6,17.868,2.455
Oslo,y2080_ssp585,7,20.111,2.907
Oslo,y2080_ssp585,8,18.778,2.842
Oslo,y2080_ssp585,9,14.705,2.512
Oslo,y2080_ssp585,10,9.779,2.441
Oslo,y2080_ssp585,11,5.006,2.641
Oslo,y2080_ssp585,12,1.273,2.921
Paris,y2080_ssp585,1,8.059,1.949
Paris,y2080_ssp585,2,8.419,2.013
Paris,y2080_ssp585,3,9.94,1.786
Paris,y2080_ssp585,4,12.635,2.177
Paris,y2080_ssp585,5,16.907,2.297
Paris,y2080_ssp585,6,22.063,2.556
Paris,y2080_ssp585,7,25.723,2.876
Paris,y2080_ssp585,8,25.578,2.863
Paris,y2080_ssp585,9,22.134,2.529
Paris,y2080_ssp585,10,16.869,2.138
Paris,y2080_ssp585,11,12.03,1.876
Paris,y2080_ssp585,12,9.249,1.897
Phoenix,y2080_ssp585,1,11.942,2.92
Phoenix,y2080_ssp585,2,13.83,3.068
Phoenix,y2080_ssp585,3,16.706,3.455
Phoenix,y2080_ssp585,4,21.59,3.953
Phoenix,y2080_ssp585,5,27.184,4.388
Phoenix,y2080_ssp585,6,32.858,4.524
Phoenix,y2080_ssp585,7,36.542,3.769
Phoenix,y2080_ssp585,8,36.175,3.414
Phoenix,y2080_ssp585,9,32.805,3.281
Phoenix,y2080_ssp585,10,27.32,3.155
Phoenix,y2080_ssp585,11,18.571,3.202
Phoenix,y2080_ssp585,12,12.792,3.111
Reykjavik,y2080_ssp585,1,3.082,2.367
Reykjavik,y2080_ssp585,2,2.864,2.305
Reykjavik,y2080_ssp585,3,3.316,2.299
Reykjavik,y2080_ssp585,4,4.975,1.903
Reykjavik,y2080_ssp585,5,7.704,1.456
Reykjavik,y2080_ssp585,6,11.109,1.306
Reykjavik,y2080_ssp585,7,13.389,1.573
Reykjavik,y2080_ssp585,8,13.541,1.854
Reykjavik,y2080_ssp585,9,11.407,1.998
Reykjavik,y2080_ssp585,10,8.505,2.249
Reykjavik,y2080_ssp585,11,5.661,2.33
Reykjavik,y2080_ssp585,12,3.939,2.341
Rome,y2080_ssp585,1,12.586,1.852
Rome,y2080_ssp585,2,12.776,1.68
Rome,y2080_ssp585,3,14.265,1.661
Rome,y2080_ssp585,4,17.028,1.941
Rome,y2080_ssp585,5,21.84,2.382
Rome,y2080_ssp585,6,27.905,3.024
Rome,y2080_ssp585,7,32.382,3.495
Rome,y2080_ssp585,8,32.669,3.023
Rome,y2080_ssp585,9,28.287,2.422
Rome,y2080_ssp585,10,22.462,1.949
Rome,y2080_ssp585,11,17.439,1.899
Rome,y2080_ssp585,12,14.116,1.86
San Diego,y2080_ssp585,1,15.804,2.237
San Diego,y2080_ssp585,2,16.658,2.041
San Diego,y2080_ssp585,3,18.15,2.168
San Diego,y2080_ssp585,4,20.707,2.511
San Diego,y2080_ssp585,5,23.672,3.013
San Diego,y2080_ssp585,6,27.104,3.541
San Diego,y2080_ssp585,7,30.388,3.299
San Diego,y2080_ssp585,8,31.634,2.845
San Diego,y2080_ssp585,9,30.321,2.49
San Diego,y2080_ssp585,10,27.272,2.102
San Diego,y2080_ssp585,11,21.246,2.313
San Diego,y2080_ssp585,12,16.859,2.538
Sao Paulo,y2080_ssp585,1,27.458,2.021
Sao Paulo,y2080_ssp585,2,27.689,1.939
Sao Paulo,y2080_ssp585,3,27.036,2.117
Sao Paulo,y2080_ssp585,4,25.774,2.262
Sao Paulo,y2080_ssp585,5,23.733,2.32
Sao Paulo,y2080_ssp585,6,21.806,2.266
Sao Paulo,y2080_ssp585,7,21.307,2.17
Sao Paulo,y2080_ssp585,8,22.488,2.284
Sao Paulo,y2080_ssp585,9,24.855,2.42
Sao Paulo,y2080_ssp585,10,26.347,2.814
Sao Paulo,y2080_ssp585,11,26.613,2.737
Sao Paulo,y2080_ssp585,12,27.026,2.411
Seoul,y2080_ssp585,1,3.311,3.156
Seoul,y2080_ssp585,2,4.594,2.834
Seoul,y2080_ssp585,3,8.762,2.496
Seoul,y2080_ssp585,4,13.792,2.506
Seoul,y2080_ssp585,5,19.139,2.592
Seoul,y2080_ssp585,6,24.371,2.67
Seoul,y2080_ssp585,7,28.194,2.768
Seoul,y2080_ssp585,8,29.353,2.84
Seoul,y2080_ssp585,9,26.137,2.872
Seoul,y2080_ssp585,10,19.605,2.505
Seoul,y2080_ssp585,11,12.608,2.542
Seoul,y2080_ssp585,12,6.339,2.961
Singapore,y2080_ssp585,1,29.585,1.631
Singapore,y2080_ssp585,2,29.758,1.644
Singapore,y2080_ssp585,3,30.505,1.71
Singapore,y2080_ssp585,4,31.347,1.851
Singapore,y2080_ssp585,5,31.757,1.833
Singapore,y2080_ssp585,6,31.735,1.746
Singapore,y2080_ssp585,7,31.386,1.772
Singapore,y2080_ssp585,8,31.233,1.782
Singapore,y2080_ssp585,9,31.176,1.794
Singapore,y2080_ssp585,10,31.01,1.919
Singapore,y2080_ssp585,11,30.631,1.871
Singapore,y2080_ssp585,12,30.063,1.703
Stockholm,y2080_ssp585,1,3.159,2.038
Stockholm,y2080_ssp585,2,2.839,2.154
Stockholm,y2080_ssp585,3,4.245,2.058
Stockholm,y2080_ssp585,4,7.861,2.001
Stockholm,y2080_ssp585,5,13.071,2.164
Stockholm,y2080_ssp585,6,18.671,2.348
Stockholm,y2080_ssp585,7,22.024,2.782
Stockholm,y2080_ssp585,8,21.391,2.607
Stockholm,y2080_ssp585,9,17.669,2.208
Stockholm,y2080_ssp585,10,12.812,2.029
Stockholm,y2080_ssp585,11,8.324,2.003
Stockholm,y2080_ssp585,12,4.809,2.169
Sydney,y2080_ssp585,1,26.594,1.424
Sydney,y2080_ssp585,2,26.557,1.404
Sydney,y2080_ssp585,3,25.006,1.594
Sydney,y2080_ssp585,4,22.571,1.604
Sydney,y2080_ssp585,5,19.381,1.946
Sydney,y2080_ssp585,6,16.619,2.155
Sydney,y2080_ssp585,7,15.44,2.126
Sydney,y2080_ssp585,8,16.18,2.044
Sydney,y2080_ssp585,9,18.517,1.943
Sydney,y2080_ssp585,10,21.076,1.758
Sydney,y2080_ssp585,11,23.225,1.61
Sydney,y2080_ssp585,12,25.299,1.464
Tokyo,y2080_ssp585,1,11.118,3.558
Tokyo,y2080_ssp585,2,10.925,3.496
Tokyo,y2080_ssp585,3,13.067,2.978
Tokyo,y2080_ssp585,4,16.675,2.529
Tokyo,y2080_ssp585,5,20.696,2.357
Tokyo,y2080_ssp585,6,24.645,2.251
Tokyo,y2080_ssp585,7,28.224,2.105
Tokyo,y2080_ssp585,8,29.409,2.045
Tokyo,y2080_ssp585,9,27.746,2.504
Tokyo,y2080_ssp585,10,23.271,2.902
Tokyo,y2080_ssp585,11,18.357,3.028
Tokyo,y2080_ssp585,12,13.781,3.382
Toronto,y2080_ssp585,1,0.039,3.019
Toronto,y2080_ssp585,2,1.1,3.167
Toronto,y2080_ssp585,3,5.094,2.733
Toronto,y2080_ssp585,4,11.889,3.0
Toronto,y2080_ssp585,5,18.853,2.939
Toronto,y2080_ssp585,6,24.835,2.748
Toronto,y2080_ssp585,7,28.632,3.206
Toronto,y2080_ssp585,8,28.571,3.566
Toronto,y2080_ssp585,9,24.362,3.618
Toronto,y2080_ssp585,10,17.081,3.443
Toronto,y2080_ssp585,11,9.414,3.149
Toronto,y2080_ssp585,12,3.436,2.79
